param,type,group,default,optimal,peak_type,sensitivity,significance,opt_accuracy,opt_sharpe,opt_pnl,opt_brier,opt_trades,opt_drawdown
edge_threshold,continuous,Signals,0.05,0.001,EDGE,38460000.0,SIGNIFICANT,0.5169628432956381,0.9830363178549635,490.15000000001294,0.33111,2476,0.022067925441149033
confidence_floor,continuous,Signals,0.6,0.8,CLEAR_PEAK,1.038458,SIGNIFICANT,0.6134453781512605,3.8470371758033357,136.33999999999992,0.378924,119,0.002516220905262087
fee_type,categorical,Fees,0,2,CLEAR_PEAK,6.883352,SIGNIFICANT,0.5169628432956381,0.7644191924695336,381.17000000000616,0.33111,2476,0.02424345124081693
slippage_budget,continuous,Fees,0.001,0.0,EDGE,636290000.0,SIGNIFICANT,0.5169628432956381,1.017843151526796,507.5,0.33111,2476,0.021708352996696555
stop_loss_kind,categorical,Gates,0,2,EDGE,1.0,SIGNIFICANT,0.5169628432956381,7.8286671509254875,3003.229999999931,0.33111,2476,0.0020862662349012302
position_sizing_model,categorical,Levers,0,1,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,1.0629889398983339,955.8700000000235,0.33111,2476,0.03885100043066049
capital_base,continuous,Levers,10000,25000,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.9830363178549634,490.15000000001294,0.33111,2476,0.009128796792194417
fusion_mode,categorical,Modulators,0,2,EDGE,1.0,SIGNIFICANT,0.5185933710590137,1.0486049197965839,522.6800000000128,0.33014,2474,0.02193580357639783
cal_shrinkage_strength,continuous,Calibration,0.3,0.0,EDGE,36090000.0,SIGNIFICANT,0.5169628432956381,0.9830363178549635,490.15000000001294,0.331102,2476,0.022067925441149033
mod_directional_weight,continuous,Confidence,0.7,0.3,EDGE,366860000.0,SIGNIFICANT,0.6134453781512605,3.8470371758033357,136.33999999999992,0.378924,119,0.002516220905262087
regime_season_filter,categorical,Regime,all,djf,CLEAR_PEAK,1.717706,SIGNIFICANT,0.6015325670498084,4.548506514561636,488.75000000000205,0.293231,522,0.0034823023394896986
regime_region_filter,categorical,Regime,all,continental,CLEAR_PEAK,3.326752,SIGNIFICANT,0.5366509751176867,1.2499282624601118,530.1300000000109,0.322669,1487,0.01677014349438225
regime_cycle_filter,categorical,Regime,all,12z,EDGE,1.761073,SIGNIFICANT,0.5207667731629393,1.3789353633473937,343.75000000000534,0.32901,1252,0.011035865842947431
station_tier1_cap,integer,StationSizing,20,10,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.9830363178549635,490.15000000001294,0.33111,2476,0.022067925441149033
station_tier2_cap,integer,StationSizing,10,10,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.9830363178549635,490.15000000001294,0.33111,2476,0.022067925441149033
station_tier3_cap,integer,StationSizing,5,1,EDGE,584240000.0,SIGNIFICANT,0.5169628432956381,1.174301836790658,560.1500000000132,0.33111,2476,0.02044014815678636
