station,date,market_type,settlement_epoch,timestamp_iso,timezone
KATL,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KATL,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KBOS,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KBOS,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KBWI,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KBWI,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KDCA,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KDCA,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KDEN,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/Denver
KDEN,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/Denver
KDFW,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/Chicago
KDFW,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/Chicago
KEWR,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KEWR,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KIAD,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KIAD,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KJFK,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KJFK,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KLAX,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/Los_Angeles
KLAX,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/Los_Angeles
KLGA,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KLGA,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KMIA,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KMIA,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/New_York
KMSP,2026-07-20,HIGH,1784548800,2026-07-20T12:00:00+00:00,America/Chicago
KMSP,2026-07-20,LOW,1784548800,2026-07-20T12:00:00+00:00,America/Chicago
