signal,accuracy,n_trades,n_stations,mean_rho,max_rho,classification,disposition,redundant_pairs
persistence,0.5188017845761632,3138,7,0.127,1.0,HIGH_REDUNDANCY,KILL,simple_trend(1.0)
simple_trend,0.5188017845761632,3138,7,0.127,1.0,HIGH_REDUNDANCY,KILL,persistence(1.0)
radiational_cooling,0.18421052631578946,38,7,0.1366,0.291,ORTHOGONAL,ADVANCE,
wind_direction_shift,0.5154004106776181,487,7,0.0548,0.291,ORTHOGONAL,ADVANCE,
gaussian_v2,0.609019060901906,2151,7,0.0452,0.2222,ORTHOGONAL,ADVANCE,
spike_reversion,0.44639718804920914,1138,7,0.0475,0.163,ORTHOGONAL,ADVANCE,
gaussian,0.6310077519379845,1290,7,0.056,0.1536,ORTHOGONAL,ADVANCE,
pressure_delta,0.6408839779005525,1991,7,0.0316,0.1186,ORTHOGONAL,ADVANCE,
goldilocks,0.4765661252900232,2155,7,0.037,0.1126,ORTHOGONAL,ADVANCE,
ecmwf_bias_corrected,0.8454429572976419,3138,7,0.0376,0.0919,ORTHOGONAL,ADVANCE,
calendar_climatology,0.6456241032998565,697,7,0.0379,0.0856,ORTHOGONAL,ADVANCE,
forecast_disagreement,0.608538785327721,1663,7,0.0352,0.0856,ORTHOGONAL,ADVANCE,
