signal_name,n_configs_total,n_configs_evaluated,converged,accuracy,sharpe,total_pnl,n_trades
ai_composite,10000,750,True,0.0000,0.0000,0.00,0
cross_model_divergence,20000,1500,True,0.0000,0.0000,0.00,0
corrected_pressure_delta,20000,1500,True,0.0000,0.0000,0.00,0
cloud_cover_index,20000,1500,True,0.0000,0.0000,0.00,0
dewpoint_depression,20000,1500,True,0.0000,0.0000,0.00,0
dual_polarity,20000,1500,True,0.0000,0.0000,0.00,0
calendar_climatology,10000,750,True,0.6558,2.7560,4249.13,337
esdr,20000,1500,True,0.0000,0.0000,0.00,0
feels_like_delta,20000,1500,True,0.0000,0.0000,0.00,0
fogr_reversion,20000,1500,True,0.0000,0.0000,0.00,0
eighty_two_member_ensemble,2000,250,True,0.5986,9.9098,99547.81,436
eighty_two_member_ensemble_ece,2000,250,True,0.5986,9.9098,99547.81,436
eighty_two_member_ensemble_pooled,2000,250,True,0.5978,9.9186,105252.52,460
frontal_passage_detector,20000,1500,True,0.0000,0.0000,0.00,0
frontal_passage_nowcast,20000,1500,True,0.0000,0.0000,0.00,0
frontal_detector,10000,750,True,0.0000,0.0000,0.00,0
forecast_disagreement,10000,2250,True,0.6629,2.7682,12794.73,884
gaussian,10000,750,True,0.5968,10.6055,284122.06,1235
gaussian_v2,10000,750,True,0.6205,10.7660,139635.58,909
