,radiational_cooling,gaussian,gaussian_v2,pressure_delta,forecast_disagreement,calendar_climatology,ecmwf_bias_corrected,persistence,simple_trend,wind_direction_shift,spike_reversion,goldilocks
radiational_cooling,1.0000,0.6386,0.6505,0.6200,0.5669,0.6014,0.3957,0.5775,0.5775,0.7733,0.5429,0.5429
gaussian,0.6386,1.0000,0.9881,0.9814,0.9283,0.9628,0.7571,0.9389,0.9389,0.8653,0.9043,0.9043
gaussian_v2,0.6505,0.9881,1.0000,0.9695,0.9164,0.9508,0.7451,0.9270,0.9270,0.8773,0.8923,0.8923
pressure_delta,0.6200,0.9814,0.9695,1.0000,0.9469,0.9814,0.7757,0.9575,0.9575,0.8467,0.9229,0.9229
forecast_disagreement,0.5669,0.9283,0.9164,0.9469,1.0000,0.9656,0.8288,0.9894,0.9894,0.7936,0.9759,0.9759
calendar_climatology,0.6014,0.9628,0.9508,0.9814,0.9656,1.0000,0.7943,0.9762,0.9762,0.8281,0.9415,0.9415
ecmwf_bias_corrected,0.3957,0.7571,0.7451,0.7757,0.8288,0.7943,1.0000,0.8181,0.8181,0.6224,0.8528,0.8528
persistence,0.5775,0.9389,0.9270,0.9575,0.9894,0.9762,0.8181,1.0000,1.0000,0.8043,0.9653,0.9653
simple_trend,0.5775,0.9389,0.9270,0.9575,0.9894,0.9762,0.8181,1.0000,1.0000,0.8043,0.9653,0.9653
wind_direction_shift,0.7733,0.8653,0.8773,0.8467,0.7936,0.8281,0.6224,0.8043,0.8043,1.0000,0.7696,0.7696
spike_reversion,0.5429,0.9043,0.8923,0.9229,0.9759,0.9415,0.8528,0.9653,0.9653,0.7696,1.0000,1.0000
goldilocks,0.5429,0.9043,0.8923,0.9229,0.9759,0.9415,0.8528,0.9653,0.9653,0.7696,1.0000,1.0000
