signal,n_trades,accuracy,total_pnl,sharpe,profit_factor,max_drawdown,brier_score,ece,total_fees,avg_confidence,n_stations_active,val_disc_n,val_disc_acc,val_time_n,val_time_acc,val_geo_n,val_geo_acc
ai_composite,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
calendar_climatology,337,0.655786,3475.87,2.730917,1.423593,1.152674,0.232217,0.089513,790.00,0.566274,6,201,0.686567,135,0.607407,4,0.500000
cloud_cover_index,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
corrected_pressure_delta,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
cross_model_divergence,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
dewpoint_depression,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
dual_polarity,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
ecmwf_bias_corrected,1682,0.861474,64822.61,16.201319,5.984652,0.037323,0.206019,0.298933,3844.00,0.562542,9,747,0.929050,934,0.807281,103,0.669903
eighty_two_member_ensemble,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
eighty_two_member_ensemble_ece,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
eighty_two_member_ensemble_pooled,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
esdr,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
feels_like_delta,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
fogr_reversion,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
forecast_disagreement,665,0.690226,33988.68,3.607353,2.063020,25.916744,0.219299,0.081963,3680.00,0.610136,7,262,0.645038,403,0.719603,0,0.000000
frontal_detector,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
frontal_passage_detector,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
frontal_passage_intraday,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
frontal_passage_nowcast,0,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0,0,0.000000,0,0.000000,0,0.000000
gaussian,1586,0.618537,1051624.05,4.624598,5.610353,0.748770,0.312048,0.245981,27824.00,0.864518,16,573,0.666667,1012,0.590909,107,0.514019
