param,type,group,default,optimal,peak_type,sensitivity,significance,opt_accuracy,opt_sharpe,opt_pnl,opt_brier,opt_trades,opt_drawdown
edge_threshold,continuous,Signals,0.05,0.001,EDGE,47080000.0,SIGNIFICANT,0.5169628432956381,0.31210890235695976,280.80000000000143,0.33111,2476,0.052295035991404226
confidence_floor,continuous,Signals,0.6,0.3,EDGE,47080000.0,SIGNIFICANT,0.5169628432956381,0.31210890235695976,280.80000000000143,0.33111,2476,0.052295035991404226
max_contracts,integer_log,Signals,100,30,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.31210890235695976,280.80000000000143,0.33111,2476,0.052295035991404226
capital_base,continuous,Levers,10000,25000,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.31210890235695987,280.80000000000143,0.33111,2476,0.021769078102515736
cal_shrinkage_strength,continuous,Calibration,0.3,0.0,EDGE,44170000.0,SIGNIFICANT,0.5169628432956381,0.31210890235695976,280.80000000000143,0.331102,2476,0.052295035991404226
mod_agreement_exponent,continuous,Confidence,1.5,1.75,CLEAR_PEAK,1.0,SIGNIFICANT,0.5169628432956381,0.31210890235695976,280.80000000000143,0.318342,2476,0.052295035991404226
mod_directional_weight,continuous,Confidence,0.7,0.3,EDGE,428720000.0,SIGNIFICANT,0.6134453781512605,3.4917210840203077,230.00000000000009,0.378924,119,0.005960896518835527
regime_season_filter,categorical,Regime,all,djf,CLEAR_PEAK,1.696866,SIGNIFICANT,0.6015325670498084,4.10883481212126,787.199999999998,0.293231,522,0.007573982978058176
regime_region_filter,categorical,Regime,all,continental,CLEAR_PEAK,2.705772,SIGNIFICANT,0.5366509751176867,0.5654150827866435,441.60000000000497,0.322669,1487,0.03815740395375212
regime_cycle_filter,categorical,Regime,all,12z,EDGE,1.613051,SIGNIFICANT,0.5207667731629393,0.8529594313457437,385.0000000000021,0.32901,1252,0.026020687959761233
station_tier1_cap,integer,StationSizing,20,30,EDGE,1.0,SIGNIFICANT,0.5169628432956381,0.35984043641344393,475.1999999999692,0.33111,2476,0.07297929792981679
station_tier2_cap,integer,StationSizing,10,20,EDGE,1.0,SIGNIFICANT,0.5169628432956381,0.3470851208031845,334.4000000000094,0.33111,2476,0.05614748745124018
station_tier3_cap,integer,StationSizing,5,1,EDGE,740940000.0,SIGNIFICANT,0.5169628432956381,0.4616756204991383,410.08000000001834,0.33111,2476,0.04927999881512348
